source_service,evidence_type,target,confidence,evidence_count,evidence_locations,governance_status
ndsp-trial-register-canonical-wrapper,ENVIRONMENT_REFERENCE,PORT,HIGH,1,backend/ndsp-trial-register-canonical-wrapper/server.js:8,APPENDIX_ONLY
ndsp-trial-register-canonical-wrapper,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/.env,MEDIUM,1,backend/ndsp-trial-register-canonical-wrapper/server.js:27,APPENDIX_ONLY
ndsp-trial-seats-api,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/.env,MEDIUM,1,backend/ndsp-trial-seats-api/server.js:5,APPENDIX_ONLY
ndsp-user-alert-channels,ENVIRONMENT_REFERENCE,PORT,HIGH,1,backend/ndsp-user-alert-channels/server.js:464,APPENDIX_ONLY
ndsp-user-alert-channels,FILE_DEPENDENCY,/home/nawaf511/empire-core-new/backend/.env,MEDIUM,1,backend/ndsp-user-alert-channels/server.js:9,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,DATABASE_URL,HIGH,1,backend/password_reset_gateway/server.js:8,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,FRONTEND_URL,HIGH,1,backend/password_reset_gateway/server.js:98,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,PGDATABASE,HIGH,1,backend/password_reset_gateway/server.js:16,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,PGHOST,HIGH,1,backend/password_reset_gateway/server.js:14,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,PGPASSWORD,HIGH,1,backend/password_reset_gateway/server.js:18,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,PGPORT,HIGH,1,backend/password_reset_gateway/server.js:15,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,PGUSER,HIGH,1,backend/password_reset_gateway/server.js:17,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,POSTGRES_PASSWORD,HIGH,1,backend/password_reset_gateway/server.js:18,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,POSTGRES_URL,HIGH,1,backend/password_reset_gateway/server.js:8,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,SMTP_FROM,HIGH,1,backend/password_reset_gateway/server.js:102,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,SMTP_PASS,HIGH,1,backend/password_reset_gateway/server.js:26,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,SMTP_PASSWORD,HIGH,1,backend/password_reset_gateway/server.js:26,APPENDIX_ONLY
password-reset-gateway,ENVIRONMENT_REFERENCE,SMTP_USER,HIGH,1,backend/password_reset_gateway/server.js:25,APPENDIX_ONLY
