ID	TechnologyArea	SourcePath	DetectedItem	VersionOrValue	EvidenceType	SHA256	Notes
TEC-000054	devDependencies	frontend/public-site/package.json	tailwindcss	^4.1.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000055	devDependencies	frontend/public-site/package.json	tw-animate-css	^1.4.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000056	devDependencies	frontend/public-site/package.json	typescript	^5.7.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000057	devDependencies	frontend/public-site/package.json	vite	^6.3.0	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000058	devDependencies	frontend/public-site/package.json	wouter	^3.3.5	package.json	9b3241628a650e5ebd4e5a5a6d5b6eaf4f3719b7e65f4e4d0125ac67fed963e5	No install performed
TEC-000059	config	frontend/public-site/tsconfig.json	tsconfig.json	PRESENT	file inventory	1791fb9c57e34221149dd62e3637f244cada7fc67a8cc2624ede510ea938b7c8	Configuration file detected
TEC-000060	config	frontend/public-site/vite.config.ts	vite.config.ts	PRESENT	file inventory	fcc69f7cabddf258acbaa0e7a9f91addff821ed463b3d13571646c9afbff5b57	Configuration file detected
TEC-000061	dependencies	frontend/user-portal-vite/package.json	react	^18.3.1	package.json	05e132fd706b77ae1c94aab5b7a06e9d0a5f921732e5ff04aa954624026eafe1	No install performed
TEC-000062	dependencies	frontend/user-portal-vite/package.json	react-dom	^18.3.1	package.json	05e132fd706b77ae1c94aab5b7a06e9d0a5f921732e5ff04aa954624026eafe1	No install performed
TEC-000063	devDependencies	frontend/user-portal-vite/package.json	vite	^6.0.7	package.json	05e132fd706b77ae1c94aab5b7a06e9d0a5f921732e5ff04aa954624026eafe1	No install performed
TEC-000064	devDependencies	frontend/user-portal-vite/package.json	@vitejs/plugin-react	^4.3.4	package.json	05e132fd706b77ae1c94aab5b7a06e9d0a5f921732e5ff04aa954624026eafe1	No install performed
TEC-000065	config	frontend/user-portal-vite/vite.config.js	vite.config.js	PRESENT	file inventory	c925ce67a5560a3620f0e610ec6bdb67daf6651a44c0d8bed616825a2c925888	Configuration file detected
TEC-000066	dependencies	package.json	@modelcontextprotocol/sdk	latest	package.json	969d6282c60ed5b82c4946301346049e10988445ffe784eb30185ec6852b0ffa	No install performed
TEC-000067	dependencies	package.json	express	latest	package.json	969d6282c60ed5b82c4946301346049e10988445ffe784eb30185ec6852b0ffa	No install performed
