unit,fragment_path,exec_start,working_directory,environment_files,user,group,active_state,sub_state
decisionos-backend.service,/etc/systemd/system/decisionos-backend.service,{ path=/opt/decisionos/backend/venv/bin/uvicorn ; argv[]=/opt/decisionos/backend/venv/bin/uvicorn main:app --host 0.0.0.0 --port 9103 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/decisionos/backend,,root,,inactive,dead
ndsp-admin-snapshot-updater.service,/etc/systemd/system/ndsp-admin-snapshot-updater.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /usr/local/bin/ndsp_admin_snapshot_updater.py ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:35:23 CEST] ; stop_time=[n/a] ; pid=2940883 ; code=(null) ; status=0/0 },,/etc/ndsp/ndsp-mail.env (ignore_errors=no),,,activating,start
ndsp-admin-ui-proxy.service,/etc/systemd/system/ndsp-admin-ui-proxy.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_admin_ui_proxy.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/ndsp-mail.env (ignore_errors=no),,,active,running
ndsp-admin-user-ops.service,/etc/systemd/system/ndsp-admin-user-ops.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 -m uvicorn app:app --host 127.0.0.1 --port 9068 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-admin-user-ops,,,,active,running
ndsp-admin-users-official-readonly.service,/etc/systemd/system/ndsp-admin-users-official-readonly.service,{ path=/bin/true ; argv[]=/bin/true ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,,,active,exited
ndsp-admin-users-official.service,/etc/systemd/system/ndsp-admin-users-official.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/admin_users_official_api/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/admin_users_official_api,/etc/ndsp/ndsp-db.env (ignore_errors=yes),root,,active,running
ndsp-airtable-runtime-sync.service,/etc/systemd/system/ndsp-airtable-runtime-sync.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/integrations/airtable-runtime-sync/ndsp_airtable_sync.py ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:26:42 CEST] ; stop_time=[Sun 2026-08-02 02:26:57 CEST] ; pid=2912905 ; code=exited ; status=0 },/home/nawaf511/empire-core-new/integrations/airtable-runtime-sync,/home/nawaf511/empire-core-new/integrations/airtable-runtime-sync/.env (ignore_errors=no),nawaf511,,inactive,dead
ndsp-api-compat.service,/etc/systemd/system/ndsp-api-compat.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_api_compat_gateway.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/ndsp-mail.env (ignore_errors=no),,,active,running
ndsp-api.service,/etc/systemd/system/ndsp-api.service,{ path=/home/nawaf511/empire-core-new/backend/venv/bin/gunicorn ; argv[]=/home/nawaf511/empire-core-new/backend/venv/bin/gunicorn app.main:app -k uvicorn.workers.UvicornWorker --bind 127.0.0.1:9002 --workers 4 --timeout 120 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend,/etc/ndsp/ndsp-db.env (ignore_errors=no),nawaf511,www-data,inactive,dead
ndsp-app.service,/etc/systemd/system/ndsp-app.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 -m http.server 8010 --bind 127.0.0.1 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/frontend_public,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,,inactive,dead
ndsp-auth-api.service,/etc/systemd/system/ndsp-auth-api.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,nawaf511,inactive,dead
ndsp-auth-core-clean.service,/etc/systemd/system/ndsp-auth-core-clean.service,{ path=/usr/bin/nsolid ; argv[]=/usr/bin/nsolid /opt/ndsp-auth-core-clean/current/server/dist/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-auth-core-clean/current,/etc/ndsp/ndsp-auth-core-clean.env (ignore_errors=no),ndsp-auth,ndsp-auth,active,running
ndsp-backend.service,/etc/systemd/system/ndsp-backend.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,,inactive,dead
ndsp-bot-execution.service,/etc/systemd/system/ndsp-bot-execution.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/bot_execution/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/services/bot_execution,/home/nawaf511/empire-core-new/backend/.env (ignore_errors=yes),nawaf511,,inactive,dead
ndsp-bot_execution.service,/etc/systemd/system/ndsp-bot_execution.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/bot_execution/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/services/bot_execution,/home/nawaf511/empire-core-new/backend/runtime/systemd-env/core-services.env (ignore_errors=yes),nawaf511,,active,running
ndsp-business-digest.service,/etc/systemd/system/ndsp-business-digest.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /usr/local/lib/ndsp-business-ops/daily_digest.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,/etc/ndsp/business-ops.env (ignore_errors=no),nawaf511,nawaf511,inactive,dead
ndsp-business-ops.service,/etc/systemd/system/ndsp-business-ops.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /usr/local/lib/ndsp-business-ops/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,/etc/ndsp/business-ops.env (ignore_errors=no),nawaf511,nawaf511,active,running
ndsp-canonical-live-runtime-v30.service,/etc/systemd/system/ndsp-canonical-live-runtime-v30.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_canonical_live_runtime_v30.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new,,nawaf511,nawaf511,active,running
ndsp-canonical-live-runtime-v33.service,/etc/systemd/system/ndsp-canonical-live-runtime-v33.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_canonical_live_runtime_v33.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new,,nawaf511,nawaf511,active,running
ndsp-capability-runtime-controller.service,/etc/systemd/system/ndsp-capability-runtime-controller.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/platform/runtime/capability_runtime_controller_v1.py --project /home/nawaf511/empire-core-new --output /home/nawaf511/empire-core-new/var/runtime/NDSP_CAPABILITY_RUNTIME_EVIDENCE_V1.json ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:30:42 CEST] ; stop_time=[Sun 2026-08-02 02:30:55 CEST] ; pid=2924895 ; code=exited ; status=0 },/home/nawaf511/empire-core-new,,nawaf511,nawaf511,inactive,dead
ndsp-change-password-gateway.service,/etc/systemd/system/ndsp-change-password-gateway.service,{ path=/opt/ndsp-change-password-gateway/venv/bin/uvicorn ; argv[]=/opt/ndsp-change-password-gateway/venv/bin/uvicorn app:app --host 127.0.0.1 --port 9069 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-change-password-gateway,,postgres,postgres,active,running
ndsp-checkout-api.service,/etc/systemd/system/ndsp-checkout-api.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/ndsp_checkout_plans_package/backend-express/src/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/ndsp_checkout_plans_package/backend-express,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,nawaf511,inactive,dead
ndsp-command-center-real-data.service,/etc/systemd/system/ndsp-command-center-real-data.service,{ path=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; argv[]=/usr/local/bin/ndsp-refresh-static-data-contract-v46 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,nawaf511,nawaf511,inactive,dead
ndsp-commercial-auth-payment-staging.service,/etc/systemd/system/ndsp-commercial-auth-payment-staging.service,{ path=/opt/ndsp-commercial-auth-payment-staging/releases/20260730_103616-source-staging-v1-13/run-staging.sh ; argv[]=/opt/ndsp-commercial-auth-payment-staging/releases/20260730_103616-source-staging-v1-13/run-staging.sh ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-commercial-auth-payment-staging/releases/20260730_103616-source-staging-v1-13/source,/etc/ndsp/commercial-auth-payment-staging.env (ignore_errors=no),ndsp_commercial_staging,ndsp_commercial_staging,active,running
ndsp-completed-decision.service,/etc/systemd/system/ndsp-completed-decision.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/completed_decision/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/services/completed_decision,/home/nawaf511/empire-core-new/backend/.env (ignore_errors=yes),nawaf511,,inactive,dead
ndsp-completed-decisions-evidence-v35.service,/etc/systemd/system/ndsp-completed-decisions-evidence-v35.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_completed_decisions_evidence_v35.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new,,nawaf511,nawaf511,active,running
ndsp-completed-decisions-history-capture-v36.service,/etc/systemd/system/ndsp-completed-decisions-history-capture-v36.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_completed_decisions_history_v36.py capture ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:26:53 CEST] ; stop_time=[Sun 2026-08-02 02:26:53 CEST] ; pid=2912947 ; code=exited ; status=0 },/home/nawaf511/empire-core-new,,nawaf511,nawaf511,inactive,dead
ndsp-completed-decisions-history-v36.service,/etc/systemd/system/ndsp-completed-decisions-history-v36.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_completed_decisions_history_v36.py serve ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new,,nawaf511,nawaf511,active,running
ndsp-completed_decision.service,/etc/systemd/system/ndsp-completed_decision.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/completed_decision/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/services/completed_decision,/home/nawaf511/empire-core-new/backend/runtime/systemd-env/core-services.env (ignore_errors=yes),nawaf511,,active,running
ndsp-contract-regression-v1-1.service,/etc/systemd/system/ndsp-contract-regression-v1-1.service,{ path=/usr/bin/python3.12 ; argv[]=/usr/bin/python3.12 /home/nawaf511/ndsp_contract_regression_v1_1_1.py verify --baseline /home/nawaf511/.local/state/ndsp-contract-v1-1/baseline.json --output-dir /home/nawaf511/ndsp_reports/ndsp-contract-regression-v1-1 --max-latency-ms 3000.0 ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:33:09 CEST] ; stop_time=[Sun 2026-08-02 02:33:18 CEST] ; pid=2933162 ; code=exited ; status=1 },,/home/nawaf511/.config/ndsp-contract-regression.env (ignore_errors=yes),nawaf511,1000,failed,failed
ndsp-ctl-001-workspace-identity.service,/etc/systemd/system/ndsp-ctl-001-workspace-identity.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/ctl-001-workspace-identity/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/services/ctl-001-workspace-identity,/home/nawaf511/empire-core-new/backend/.env (ignore_errors=yes),nawaf511,,active,running
ndsp-current-user-display.service,/etc/systemd/system/ndsp-current-user-display.service,{ path=/opt/ndsp-current-user-display/.venv/bin/uvicorn ; argv[]=/opt/ndsp-current-user-display/.venv/bin/uvicorn app:app --host 127.0.0.1 --port 9074 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-current-user-display,,postgres,,active,running
ndsp-decision-governance-core.service,/etc/systemd/system/ndsp-decision-governance-core.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/decision_governance_core/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/services/decision_governance_core,/home/nawaf511/empire-core-new/backend/.env (ignore_errors=yes),nawaf511,,inactive,dead
ndsp-decision-package-v1.service,/etc/systemd/system/ndsp-decision-package-v1.service,{ path=/opt/ndsp-decision-package-v1/venv/bin/uvicorn ; argv[]=/opt/ndsp-decision-package-v1/venv/bin/uvicorn app:app --host 127.0.0.1 --port 9061 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-decision-package-v1,,,,active,running
ndsp-decision_governance_core.service,/etc/systemd/system/ndsp-decision_governance_core.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/services/decision_governance_core/main.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/services/decision_governance_core,/home/nawaf511/empire-core-new/backend/runtime/systemd-env/core-services.env (ignore_errors=yes),nawaf511,,active,running
ndsp-enterprise-api.service,/etc/systemd/system/ndsp-enterprise-api.service,{ path=/opt/ndsp-enterprise-api/.venv/bin/python ; argv[]=/opt/ndsp-enterprise-api/.venv/bin/python -m uvicorn main:app --host 127.0.0.1 --port 9088 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-enterprise-api,,root,,inactive,dead
ndsp-governance-bridge.service,/etc/systemd/system/ndsp-governance-bridge.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/server.mjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge,,nawaf511,,active,running
ndsp-investing-calendar.service,/etc/systemd/system/ndsp-investing-calendar.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/ndsp-portal-real-data-sync/investing_live_calendar.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,nawaf511,,inactive,dead
ndsp-layers-api.service,/etc/systemd/system/ndsp-layers-api.service,{ path=/home/nawaf511/empire-core-new/apps/ndsp-layers-api/.venv/bin/uvicorn ; argv[]=/home/nawaf511/empire-core-new/apps/ndsp-layers-api/.venv/bin/uvicorn app:app --host 127.0.0.1 --port 9065 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/apps/ndsp-layers-api,,nawaf511,,active,running
ndsp-layers.service,/etc/systemd/system/ndsp-layers.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 -m uvicorn layers_control:router --port 8000 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/app/api/routers,,nawaf511,,inactive,dead
ndsp-live-decision-quality.service,/etc/systemd/system/ndsp-live-decision-quality.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/ndsp-live-decision-quality/server.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-live-decision-quality,,nawaf511,,active,running
ndsp-live-economic-calendar.service,/etc/systemd/system/ndsp-live-economic-calendar.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/ndsp-portal-real-data-sync/live_economic_calendar_sync.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,nawaf511,,inactive,dead
ndsp-live-market-adapter.service,/etc/systemd/system/ndsp-live-market-adapter.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp_live_market_adapter.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend,,nawaf511,,active,running
ndsp-market-data-bridge-v2.service,/etc/systemd/system/ndsp-market-data-bridge-v2.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-market-data-bridge-v2/bridge.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-market-data-bridge-v2,/etc/ndsp-market-data-bridge-v2.env (ignore_errors=yes),nobody,nogroup,active,running
ndsp-market-prices-updater.service,/etc/systemd/system/ndsp-market-prices-updater.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /usr/local/bin/ndsp_live_market_prices_updater.py ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:35:23 CEST] ; stop_time=[n/a] ; pid=2940913 ; code=(null) ; status=0/0 },,/etc/ndsp/ndsp-mail.env (ignore_errors=no),root,root,activating,start
ndsp-mt4-freshness-guard.service,/etc/systemd/system/ndsp-mt4-freshness-guard.service,{ path=/home/nawaf511/empire-core-new/backend/venv/bin/python ; argv[]=/home/nawaf511/empire-core-new/backend/venv/bin/python /home/nawaf511/empire-core-new/backend/app/runtime/mt4_freshness_guard.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,www-data,inactive,dead
ndsp-news-ticker.service,/etc/systemd/system/ndsp-news-ticker.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /opt/ndsp-news-ticker/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-news-ticker,/etc/ndsp/ndsp-mail.env (ignore_errors=no),nawaf511,,active,running
ndsp-password-reset.service,/etc/systemd/system/ndsp-password-reset.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/password_reset_gateway/server.js ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/password_reset_gateway,/home/nawaf511/empire-core-new/backend/auth_api/.env (ignore_errors=yes),nawaf511,,active,running
ndsp-platform-gateway-9002.service,/etc/systemd/system/ndsp-platform-gateway-9002.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-platform-gateway-9002/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/opt/ndsp-platform-gateway-9002,,www-data,www-data,active,running
ndsp-platform-gateway.service,/etc/systemd/system/ndsp-platform-gateway.service,{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_platform_gateway_9001.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/auth_api,/etc/ndsp/v46-internal.env (ignore_errors=yes),nawaf511,,active,running
ndsp-portal-real-data-api.service,/etc/systemd/system/ndsp-portal-real-data-api.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /home/nawaf511/empire-core-new/backend/ndsp-portal-real-data-api/server.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },/home/nawaf511/empire-core-new/backend/ndsp-portal-real-data-api,,postgres,,active,running
ndsp-portal-real-data-ledger.service,/etc/systemd/system/ndsp-portal-real-data-ledger.service,{ path=/home/nawaf511/ndsp-portal-real-data-sync/sync_real_ledger.py ; argv[]=/home/nawaf511/ndsp-portal-real-data-sync/sync_real_ledger.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },,,,,inactive,dead
ndsp-production-monitor.service,/etc/systemd/system/ndsp-production-monitor.service,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /usr/local/lib/ndsp-business-ops/monitor.py ; ignore_errors=no ; start_time=[Sun 2026-08-02 02:31:21 CEST] ; stop_time=[Sun 2026-08-02 02:31:27 CEST] ; pid=2926926 ; code=exited ; status=1 },,/etc/ndsp/business-ops.env (ignore_errors=no),nawaf511,nawaf511,failed,failed
